"State Name","Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Nagaland","Services","3057","3475","3826","4219","4359","4743","5005","5224","5467"
"Odisha","GSDP (2004-05 Prices)","77729","82145","92701","102846","110812","115851","124537","130669","142607"
"Odisha","Agriculture and Allied","18257","18867","19232","20129","20504","22092","22515","21486","24946"
"Odisha","Agriculture","14604","15110","15350","16169","16450","18009","18426","17348","20795"
"Odisha","Industry","26522","27221","33044","38805","40842","39761","42477","45540","46912"
"Odisha","Mining & Quarrying","5862","6371","7643","7944","8655","9130","8896","8394","8396"
"Odisha","Manufacturing","9370","9607","12164","16184","18346","17109","18695","21183","21893"
"Odisha","Services","32951","36057","40425","43912","49466","53998","59544","63643","70749"
"Puducherry","GSDP (2004-05 Prices)","5754","7188","7453","8093","8794","10176","10806","11441","13554"
"Puducherry","Agriculture and Allied","305","294","324","320","473","393","493","450","734"
"Puducherry","Agriculture","200","222","261","271","335","243","310","279","374"
"Puducherry","Industry","2888","3895","3660","3901","4116","4723","4431","4582","5544"
"Puducherry","Manufacturing","2045","3009","2726","2782","3095","3687","3375","3438","4259"
"Puducherry","Services","2561","2998","3469","3873","4206","5060","5882","6408","7276"
"Punjab","GSDP (2004-05 Prices)","96839","102556","112997","123223","130431","138636","147670","156411","164525"
"Punjab","Agriculture and Allied","31612","31914","32824","34079","34772","34666","35236","35990","35864"
"Punjab","Agriculture","30141","30377","31248","32499","33114","32925","33438","34132","33940"
"Punjab","Industry","23979","26654","32363","37738","39337","42786","45472","46887","48546"
"Punjab","Mining & Quarrying","22","22","22","27","33","28","31","33","35"
"Punjab","Manufacturing","14660","16143","20069","24122","24883","27879","30411","31470","32579"
"Punjab","Services","41247","43988","47810","51405","56322","61184","66963","73534","80115"
"Rajasthan","GSDP (2004-05 Prices)","127746","136285","152189","160017","174556","186245","214698","227824"
"Rajasthan","Agriculture and Allied","32730","32830","35297","35867","37371","36365","48516","48780"
"Rajasthan","Agriculture","27917","28044","30352","30803","32262","31163","43134","43379"
"Rajasthan","Industry","39037","42382","49878","51185","54812","60668","66412","70763"
"Rajasthan","Mining & Quarrying","2717","2866","4097","4405","4109","4894","8107","9842"
"Rajasthan","Manufacturing","15977","17600","21756","22388","25005","28320","30772","32699"
"Rajasthan","Services","55978","61072","67014","72965","82373","89212","99770","108281"
"Sikkim","GSDP (2004-05 Prices)","1739","1909","2024","2178","2535","4401","4784","5130","5491"
"Sikkim","Agriculture and Allied","323","337","337","350","365","381","399","416","443"
"Sikkim","Agriculture","285","298","299","313","330","346","365","381","408"
"Sikkim","Industry","502","561","600","660","890","2426","2833","3030","3234"
"Sikkim","Mining & Quarrying","2","2","2","2","4","4","5","8","10"
"Sikkim","Manufacturing","67","69","74","85","93","1252","1777","1827","1966"
"Sikkim","Services","914","1012","1087","1168","1280","1594","1552","1685","1814"
"Tamil Nadu","GSDP (2004-05 Prices)","219003","249567","287530","305157","321793","356632","403416","433353","451313"
"Tamil","Agriculture and Allied","24362","27592","31244","29867","29183","31036","33353","36524","32792"
"Tamil","Agriculture","21027","23442","27058","25789","25093","26738","28795","31852","28015"
"Tamil","Industry","69313","79072","89700","93158","91241","110336","127239","135632","142927"
"Tamil","Mining & Quarrying","1633","1554","1622","1641","1611","1761","1816","2049","2151"
"Tamil","Manufacturing","43433","49994","59369","59719","58934","76134","85508","88516","87356"
"Tamil","Services","125329","142904","166586","182131","201369","215260","242823","261197","275594"
"Tripura","GSDP (2004-05 Prices)","8904","9422","10202","10988","12025","13306","14397","15645","16993"
"Tripura","Agriculture and Allied","2232","2303","2490","2918","3083","3243","3462","3718","3942"
"Tripura","Agriculture","1848","1889","2048","2439","2482","2440","2489","2539","2590"
"Tripura","Industry","2159","2385","2670","2696","2957","3330","3659","4032","4537"
"Tripura","Mining & Quarrying","128","131","142","146","165","182","199","217","236"
"Tripura","Manufacturing","360","256","296","321","341","397","435","477","545"
"Tripura","Services","4513","4733","5042","5375","5985","6733","7276","7894","8514"
"Uttar Pradesh","GSDP (2004-05 Prices)","260841","277818","300225","322213","344726","367417","396309","421871","445168"
"Uttar","Agriculture and Allied","77571","79385","81306","84163","87363","87018","91115","95282","98588"
"Uttar","Agriculture","70167","71813","73512","76141","79152","78503","82344","86301","89363"
"Uttar","Industry","60660","67075","76112","82654","83790","89913","96063","101025","103441"
"Uttar","Mining & Quarrying","2739","3242","3293","3165","3635","3091","3547","4138","3544"
"Uttar","Manufacturing","35187","37064","44427","48571","44781","51658","55952","57943","58615"
"Uttar","Services","122610","131358","142808","155396","173573","190486","209131","225564","243139"
"Uttarakhand","GSDP (2004-05 Prices)","24786","28340","32190","38022","42832","50598","55667","58551","63157"
"Uttarakhand","Agriculture and Allied","5520","5343","5591","5708","5499","6029","6293","6505","6728"
"Uttarakhand","Agriculture","4114","3941","4146","4228","3945","4474","4682","4804","4927"
"Uttarakhand","Industry","6996","8908","10716","13189","14824","17740","20181","21515","23494"
"Uttarakhand","Mining & Quarrying","299","396","378","384","313","268","340","398","401"
"Uttarakhand","Manufacturing","3156","4628","5855","8552","10344","12872","14662","15165","16206"
"Uttarakhand","Services","12269","14090","15882","19124","22510","26829","29193","30531","32935"
"West Bengal","GSDP (2004-05 Prices)","208656","221789","239077","257632","270248","291955","309735","329137","353809"
"West","Agriculture and Allied","49936","51045","52129","55365","54063","57814","57410","58547","60085"
"West","Agriculture","40020","40757","41168","43695","42155","45659","45509","46318","47573"
"West","Industry","45194","46686","50752","54229","53281","58439","61848","64213","67735"
"West","Mining & Quarrying","2849","2859","2987","2597","2673","2668","2536","2829","2885"
"West","Manufacturing","23262","22723","25433","28736","28991","32421","34484","35293","36570"
"West","Services","113526","124058","136197","148038","162904","175702","190477","206377","225989"
"India (National)","GDP Factor Cost (2004-05 Prices) 2971465","3253073","3564364","3896636","4158676","4516071","4937006","5243582","5505437","
"India (National)","Agriculture and Allied","565427","594487","619190","655080","655689","660987","713477","739495","753610"
"India (National)","Agriculture","476634","502996","523745","556956","555442","557715","606848","630540","641363"
"India (National)","Industry","829783","910413","1021204","1119995","1169736","1276919","1393879","1442498","1472462"
"India (National)","Mining & Quarrying","85028","86141","92578","95997","98055","103830","108938","108249","107619"
"India (National)","Manufacturing","453225","499020","570458","629073","656302","730435","801476","823023","831648"
"India (National)","Services","1576255","1748173","1923970","2121561","2333251","2578165","2829650","3061589","3279364"
